# Supplementary material of "Comparative analysis of tandem repeats from hundreds of species reveals unique insights into centromere evolution"
# Species	Common name	Sequencing technique	Kingdom	Phylum	Centromere type	Repeat length (nt)	GC content (%)	Repeat Fraction	Rep Fraction (%)	Genomic Fraction	Genomic Fraction (%)	Genomic Fraction (log2 of %)	Genomic Fraction group (Figure S5A)	Karyotype (2n)	Genome Size (Gb)	Average Size Repeat Array (kb)	Higher Order Repeat structure	NCBI Trace Archive	DDBJ DRA
Ostreococcus lucimarinus CCE9901	Green alga	Sanger	Plantae	Chlorophyta	Monocentric	258	66	0.28602	28.602	0.000626	0.0626	-3.997693533	2	42	0.064	1.907809524	not found	fasta.ostreococcus_lucimarinus_CCE9901	nd
Ostreococcus sp  rcc809	Green alga	Sanger	Plantae	Chlorophyta	Monocentric	113	69	0.16946	16.946	0.001052	0.1052	-3.24879339	2	42	0.064	3.206095238	found	fasta.ostreococcus_sp__rcc809.001.gz	nd
Otolemur garnettii	Greater galago	Sanger, Illumina	Animalia	Chordata	Monocentric	62	46	0.10412	10.412	0.000338	0.0338	-4.886832943	2	62	3.3	35.98064516	not found	fasta.otolemur_garnettii.006.gz; fasta.otolemur_garnettii.007.gz; fasta.otolemur_garnettii.009.gz; fasta.otolemur_garnettii.018.gz; fasta.otolemur_garnettii.025.gz	SRX005048
Ovis aries	Sheep	Illumina	Animalia	Chordata	Monocentric	816	59	nd	nd	0.042945	4.2945	2.102490171	5	54	3.3	5248.833333	nd	nd	SRX063209
Pan paniscus	Bonobo	Sanger, Illumina	Animalia	Chordata	Monocentric	171	37	0.60899	60.899	0.034648	3.4648	1.792772078	5	48	3.3	4764.1	found	fasta.pan_paniscus.001.gz	ERX007105
Pan troglodytes schweinfurthii	Eastern chimpanzee	Sanger	Animalia	Chordata	Monocentric	171	36	0.53992	53.992	0.023928	2.3928	1.258699816	5	48	3.3	3290.1	found	fasta.pan_troglodytes.009.gz; fasta.pan_troglodytes.019.gz; fasta.pan_troglodytes.059.gz; fasta.pan_troglodytes.063.gz; fasta.pan_troglodytes.081.gz	nd
Pan troglodytes troglodytes	Central chimpanzee	Sanger, Illumina	Animalia	Chordata	Monocentric	171	37	0.58836	58.836	0.013567	1.3567	0.4401017404	4	48	3.63	2052.00875	found	fasta.pan_troglodytes_schweinfurthii.001.gz	ERX007121
Panicum capillare	Witchgrass	Sanger, PacBio	Plantae	Monocot	Monocentric	155	51	0.73637	73.637	0.01874	1.874	0.906120953	4	36	1.6	1665.777778	found	fasta.panicum_capillare.001.gz	nd
Panicum hallii hallii	Hall's switchgrass	Illumina	Plantae	Monocot	Monocentric	155	50	nd	nd	0.015966	1.5966	0.6750029162	4	nd	nd	nd	nd	nd	SRX030716
Panicum virgatum	Switchgrass	Sanger, Illumina, PacBio	Plantae	Monocot	Monocentric	167	45	0.63393	63.393	0.014744	1.4744	0.5601279761	4	36	1.35	1105.8	found	fasta.panicum_virgatum.001.gz; fasta.panicum_virgatum.002.gz	SRX026828
Papilio dardanus	African swallowtail	Sanger	Animalia	Arthropoda	Holocentric	142	33	0.41667	41.667	0.000314	0.0314	-4.993091631	2	21	0.44	13.15809524	not found	fasta.papilio_dardanus.001.gz	nd
Papio hamadryas	Hamadryas baboon	Sanger	Animalia	Chordata	Monocentric	172	38	0.65742	65.742	0.053931	5.3931	2.431114785	5	48	3.53	7932.35125	found	fasta.papio_hamadryas.006.gz; fasta.papio_hamadryas.007.gz; fasta.papio_hamadryas.009.gz; fasta.papio_hamadryas.010.gz; fasta.papio_hamadryas.013.gz	nd
Patiria miniata	Bat star	454	Animalia	Echinodermata	Monocentric	218	59	nd	nd	0.10597	10.597	3.405583992	6	nd	0.76	nd	nd	nd	SRX113854
Pediculus humanus corporis	Body louse	Sanger	Animalia	Arthropoda	Holocentric	106	34	0.34997	34.997	0.007642	0.7642	-0.3879778372	4	10	0.11	168.124	found	fasta.pediculus_humanus_corporis.001.gz; fasta.pediculus_humanus_corporis.002.gz; fasta.pediculus_humanus_corporis.003.gz	nd
Perdix perdix perdix	Grey partridge	Illumina	Animalia	Chordata	Monocentric	62	42	nd	nd	0.017539	1.7539	0.8105664937	4	nd	nd	nd	nd	nd	ERX047414
Peromyscus maniculatus	Deer mouse	Sanger	Animalia	Chordata	Monocentric	345	41	0.93118	93.118	0.031906	3.1906	1.673827752	5	48	4.36	5796.256667	not found	fasta.peromyscus_maniculatus.001.gz; fasta.peromyscus_maniculatus.002.gz; fasta.peromyscus_maniculatus.003.gz; fasta.peromyscus_maniculatus.004.gz; fasta.peromyscus_maniculatus.005.gz; fasta.peromyscus_maniculatus.007.gz; fasta.peromyscus_maniculatus.008.gz; fasta.peromyscus_maniculatus.009.gz	nd
Petromyzon marinus	Lamprey	Sanger	Animalia	Chordata	Monocentric	362	41	0.65622	65.622	0.051991	5.1991	2.378261904	5	168	2.44	1510.214762	not found	fasta.petromyzon_marinus.003.gz; fasta.petromyzon_marinus.007.gz; fasta.petromyzon_marinus.009.gz; fasta.petromyzon_marinus.012.gz; fasta.petromyzon_marinus.024.gz	nd
Phaseolus vulgaris	Common bean	Illumina	Plantae	Eudicot	Monocentric	186	19	nd	nd	0.011892	1.1892	0.2499913684	4	22	0.6	648.6545455	nd	nd	SRX030836
Phlebotomus papatasi	Sandfly	Sanger	Animalia	Arthropoda	Monocentric	147	34	0.25764	25.764	0.008693	0.8693	-0.2020739503	4	8	0.17	369.4525	not found	fasta.phlebotomus_papatasi.001.gz	nd
Phoenix dactylifera	Date palm	Illumina	Plantae	Monocot	Monocentric	313	52	nd	nd	0.00408	0.408	-1.293358943	3	36	0.95	215.3333333	nd	nd	SRX040717
Physcomitrella patens	Moss	Sanger, Illumina	Plantae	Bryophyta	Monocentric	72	38	0.20948	20.948	0.000888	0.0888	-3.493296513	2	26	0.5	34.15384615	not found	fasta.physcomitrella_patens.005.gz; fasta.physcomitrella_patens.006.gz; fasta.physcomitrella_patens.010.gz; fasta.physcomitrella_patens.013.gz; fasta.physcomitrella_patens.014.gz	SRX037761
Pogonomyrmex barbatus	Red harvester ant	454	Animalia	Arthropoda	Monocentric	57	72	nd	nd	0.000408	0.0408	-4.615287038	2	32	0.27	6.885	nd	nd	SRX030571
Polychrus marmoratus	Monkey anole	Sanger	Animalia	Chordata	Monocentric	101	35	0.18182	18.182	0.000695	0.0695	-3.846843212	2	30	1.86	86.18	not found	fasta.polychrus_marmoratus.001.gz	nd
Pongo abelii	Sumatran orangutan	Sanger	Animalia	Chordata	Monocentric	171	36	0.86275	86.275	0.060995	6.0995	2.608690984	5	48	3.23	8208.910417	found	fasta.pongo_abelii.006.gz; fasta.pongo_abelii.014.gz; fasta.pongo_abelii.017.gz; fasta.pongo_abelii.020.gz; fasta.pongo_abelii.037.gz	nd
Pongo pygmaeus	Bornean orangutan	Sanger	Animalia	Chordata	Monocentric	171	37	0.843	84.3	0.011833	1.1833	0.242815884	4	48	3.66	1804.5325	found	fasta.pongo_pygmaeus.001.gz; fasta.pongo_pygmaeus.003.gz; fasta.pongo_pygmaeus.006.gz; fasta.pongo_pygmaeus.007.gz; fasta.pongo_pygmaeus.008.gz; fasta.pongo_pygmaeus.011.gz; fasta.pongo_pygmaeus.015.gz; fasta.pongo_pygmaeus.017.gz; fasta.pongo_pygmaeus.021.gz; fasta.pongo_pygmaeus.022.gz; fasta.pongo_pygmaeus.023.gz; fasta.pongo_pygmaeus.024.gz; fasta.pongo_pygmaeus.025.gz	nd
Populus balsamifera	Balsam poplar	Sanger	Plantae	Eudicot	Monocentric	143	51	0.20401	20.401	0.00396	0.396	-1.336427665	3	38	0.97	202.1684211	found	fasta.populus_balsamifera.013.gz; fasta.populus_balsamifera.015.gz; fasta.populus_balsamifera.028.gz; fasta.populus_balsamifera.020.gz; fasta.populus_balsamifera.022.gz; fasta.populus_balsamifera.024.gz	nd
Porites lobata	Lobe coral	Sanger	Animalia	Cnidaria	Monocentric	132	39	0.10891	10.891	0.001224	0.1224	-3.030324537	2	28	1.12	97.92	found	fasta.porites_lobata.001.gz	nd
Pristionchus pacificus	Roundworm	Sanger	Animalia	Nematoda	Holocentric	152	40	0.11493	11.493	0.001081	0.1081	-3.209561572	2	12	0.17	30.62833333	not found	fasta.pristionchus_pacificus.001.gz; fasta.pristionchus_pacificus.002.gz; fasta.pristionchus_pacificus.003.gz; fasta.pristionchus_pacificus.004.gz; fasta.pristionchus_pacificus.005.gz	nd
Procavia capensis	Rock hyrax	Sanger	Animalia	Chordata	Monocentric	246	36	0.8949	89.49	0.004346	0.4346	-1.20223992	3	54	4.06	653.5096296	not found	fasta.procavia_capensis.001.gz; fasta.procavia_capensis.009.gz; fasta.procavia_capensis.011.gz; fasta.procavia_capensis.012.gz; fasta.procavia_capensis.018.gz	nd
Prunus persica	Peach 	Sanger, Illumina	Plantae	Eudicot	Monocentric	166	41	0.788	78.8	0.021333	2.1333	1.093086862	5	16	0.6	1599.975	found	fasta.prunus_persica.001.gz; fasta.prunus_persica.003.gz; fasta.prunus_persica.004.gz; fasta.prunus_persica.005.gz; fasta.prunus_persica.008.gz	SRX032898
Pteropus vampyrus	Large flying fox	Sanger	Animalia	Chordata	Monocentric	63	39	0.06956	6.956	0.00004	0.004	-7.965784285	1	38	2.37	4.989473684	found	fasta.pteropus_vampyrus.001.gz; fasta.pteropus_vampyrus.009.gz; fasta.pteropus_vampyrus.010.gz; fasta.pteropus_vampyrus.014.gz; fasta.pteropus_vampyrus.015.gz	nd
Pundamilia nyererei	Red mwanza	Illumina	Animalia	Chordata	Monocentric	236	37	nd	nd	0.007172	0.7172	-0.4795526067	4	nd	0.95	nd	nd	nd	SRX033965
Radix balthica	Freshwater snail	454	Animalia	Mollusca	Monocentric	498	35	nd	nd	0.03526	3.526	1.818032475	5	nd	nd	nd	nd	nd	SRX026356
Rattus norvegicus	Norwegian rat	Sanger	Animalia	Chordata	Monocentric	93	34	0.50906	50.906	0.010952	1.0952	0.1311943517	4	42	3.05	1590.647619	found	fasta.rattus_norvegicus.019.gz; fasta.rattus_norvegicus.043.gz; fasta.rattus_norvegicus.051.gz; fasta.rattus_norvegicus.067.gz; fasta.rattus_norvegicus.084.gz	nd
Rhamphochromis esox	Malawi cichlid	Sanger	Animalia	Chordata	Monocentric	237	37	0.69004	69.004	0.01367	1.367	0.4510132429	4	23	1.06	1260.017391	not found	fasta.rhamphochromis_esox.001.gz	nd
Rhodnius prolixus	Triatomid bug	Sanger	Animalia	Arthropoda	Holocentric	169	30	0.21618	21.618	0.011552	1.1552	0.2081426473	4	22	0.59	619.6072727	not found	fasta.rhodnius_prolixus.001.gz; fasta.rhodnius_prolixus.002.gz; fasta.rhodnius_prolixus.007.gz; fasta.rhodnius_prolixus.008.gz; fasta.rhodnius_prolixus.010.gz; fasta.rhodnius_prolixus.013.gz	nd
Ricinus communis	Castor oil plant	Sanger	Plantae	Eudicot	Monocentric	39	35	0.59053	59.053	0.082266	8.2266	3.040296297	6	20	0.646	5314.3836	found	fasta.ricinus_communis.001.gz; fasta.ricinus_communis.002.gz; fasta.ricinus_communis.003.gz; fasta.ricinus_communis.004.gz; fasta.ricinus_communis.005.gz	nd
Saccoglossus kowalevskii	Acorn worm	Sanger	Animalia	Hemichordata	Monocentric	214	46	0.05882	5.882	0.011303	1.1303	0.1767057382	4	20	0.8	904.24	not found	fasta.saccoglossus_kowalevskii.001.gz; fasta.saccoglossus_kowalevskii.009.gz; fasta.saccoglossus_kowalevskii.013.gz; fasta.saccoglossus_kowalevskii.016.gz	nd
Saimiri boliviensis	Squirrel monkey	Illumina	Animalia	Chordata	Monocentric	335	41	nd	nd	0.011731	1.1731	0.230326	4	44	3.3	1759.65	nd	nd	SRX084788
Salix purpurea	Purple willow	Illumina	Plantae	Eudicot	Monocentric	180	38	nd	nd	0.133364	13.3364	3.737297376	6	38	0.47	3299.004211	nd	nd	SRX037587
Salmo salar	Atlantic salmon	Sanger	Animalia	Chordata	Monocentric	241	41	0.01525	1.525	0.000941	0.0941	-3.409661467	2	60	3.1	97.23666667	not found	fasta.salmo_salar.001.gz; fasta.salmo_salar.002.gz; fasta.salmo_salar.003.gz; fasta.salmo_salar.004.gz	nd
Sarcophilus harrisii	Tasmanian devil	Illumina	Animalia	Chordata	Monocentric	134	35	nd	nd	0.004763	0.4763	-1.070057546	3	14	3.63	2469.955714	nd	nd	ERX006785
Schistosoma mansoni	Trematode	Sanger	Animalia	Platyhelminthes	Monocentric	123	38	0.33548	33.548	0.004754	0.4754	-1.072786192	3	16	0.36	213.93	found	fasta.schistosoma_mansoni.001.gz; fasta.schistosoma_mansoni.002.gz; fasta.schistosoma_mansoni.003.gz; fasta.schistosoma_mansoni.004.gz	nd
Schmidtea mediterranea	Freshwater planarian	Sanger	Animalia	Platyhelminthes	Monocentric	158	28	0.55183	55.183	0.019274	1.9274	0.9466560102	4	8	0.72	3469.32	not found	fasta.schmidtea_mediterranea.005.gz; fasta.schmidtea_mediterranea.010.gz; fasta.schmidtea_mediterranea.019.gz; fasta.schmidtea_mediterranea.021.gz; fasta.schmidtea_mediterranea.033.gz	nd
Selaginella moellendorffii	Spikemoss	Sanger	Plantae	Lycophyta	Monocentric	241	66	0.15559	15.559	0.000443	0.0443	-4.496549491	2	20	0.11	4.873	not found	fasta.selaginella_moellendorffii.001.gz; fasta.selaginella_moellendorffii.003.gz; fasta.selaginella_moellendorffii.004.gz; fasta.selaginella_moellendorffii.005.gz; fasta.selaginella_moellendorffii.006.gz	nd
Setaria italica	Foxtail millet	Sanger	Plantae	Monocot	Monocentric	155	45	0.7416	74.16	0.011872	1.1872	0.2475629971	4	18	0.53	699.1288889	found	fasta.setaria_italica.001.gz; fasta.setaria_italica.002.gz; fasta.setaria_italica.004.gz; fasta.setaria_italica.006.gz; fasta.setaria_italica.007.gz	nd
Setaria viridis	Green bristlegrass	Illumina	Plantae	Monocot	Monocentric	155	48	nd	nd	0.027637	2.7637	1.466601019	5	18	0.8	2456.622222	nd	nd	SRX030800
Solanum phureja	Papa criolla	Sanger	Plantae	Eudicot	Monocentric	182	44	0.50699	50.699	0.009701	0.9701	-0.04379462381	4	24	0.85	687.1541667	not found	fasta.solanum_phureja.001.gz	nd
Solanum pimpinellifolium	Currant tomato	Illumina	Plantae	Eudicot	Monocentric	267	51	nd	nd	0.003489	0.3489	-1.519114497	3	nd	nd	nd	nd	nd	SRX032869
Solanum tuberosum	Potato	Sanger	Plantae	Eudicot	Monocentric	180	42	0.43462	43.462	0.002989	0.2989	-1.742265198	3	48	2.1	261.5375	found	fasta.solanum_tuberosum.001.gz; fasta.solanum_tuberosum.002.gz; fasta.solanum_tuberosum.003.gz	nd
Sorex araneus	Common shrew	Sanger, Illumina	Animalia	Chordata	Monocentric	27	74	0.40816	40.816	0.000858	0.0858	-3.542878542	2	22	2.91	226.98	found	fasta.sorex_araneus.010.gz; fasta.sorex_araneus.011.gz; fasta.sorex_araneus.014.gz; fasta.sorex_araneus.016.gz; fasta.sorex_araneus.017.gz	SRX041634
Sorghum bicolor	Sorghum	Sanger, Illumina	Plantae	Monocot	Monocentric	137	47	0.4556	45.56	0.01829	1.829	0.8710550751	4	20	0.78	1426.62	found	fasta.sorghum_bicolor.010.gz; fasta.sorghum_bicolor.012.gz; fasta.sorghum_bicolor.018.gz; fasta.sorghum_bicolor.019.gz; fasta.sorghum_bicolor.020.gz; fasta.sorghum_bicolor.022.gz	SRX030838
Sorghum propinquum	Sorghum	Illumina	Plantae	Monocot	Monocentric	137	46	nd	nd	0.029066	2.9066	1.539332545	5	20	0.76	2209.016	nd	nd	SRX030703
Spermophilus tridecemlineatus	Thirteen-lined ground squirrel	Sanger, Illumina	Animalia	Chordata	Monocentric	347	41	0.95976	95.976	0.070025	7.0025	2.807870078	5	34	3	12357.35294	not found	fasta.spermophilus_tridecemlineatus.004.gz; fasta.spermophilus_tridecemlineatus.09.gz; fasta.spermophilus_tridecemlineatus.011.gz; fasta.spermophilus_tridecemlineatus.014.gz; fasta.spermophilus_tridecemlineatus.015.gz	SRX041651
Spirodela polyrhiza	Greater duckweed	Sanger	Plantae	Monocot	Monocentric	138	27	0.00665	0.665	0.000029	0.0029	-8.429731384	1	80	0.3	0.2175	not found	fasta.spirodela_polyrhiza.001.gz	nd
Strongylocentrotus purpuratus	Purple sea urchin	Sanger	Animalia	Echinodermata	Monocentric	213	38	0.17217	17.217	0.000601	0.0601	-4.056491199	2	42	0.89	25.47095238	not found	fasta.strongylocentrotus_purpuratus.004.gz; fasta.strongylocentrotus_purpuratus.007.gz; fasta.strongylocentrotus_purpuratus.008.gz; fasta.strongylocentrotus_purpuratus.012.gz; fasta.strongylocentrotus_purpuratus.025.gz	nd
Strongyloides ratti	Roundworm	Sanger	Animalia	Nematoda	Holocentric	172	23	0.84248	84.248	0.072162	7.2162	2.851239324	5	6	0.06	1443.24	found	fasta.strongyloides_ratti.001.gz	nd
Sus scrofa	Wild pig	Sanger, Illumina	Animalia	Chordata	Monocentric	73	47	0.2554	25.54	0.017408	1.7408	0.7997504617	4	38	3.03	2776.117895	found	fasta.sus_scrofa.002.gz; fasta.sus_scrofa.003.gz; fasta.sus_scrofa.006.gz; fasta.sus_scrofa.009.gz; fasta.sus_scrofa.019.gz; fasta.sus_scrofa.026.gz; fasta.sus_scrofa.027.gz; fasta.sus_scrofa.029.gz; fasta.sus_scrofa.031.gz; fasta.sus_scrofa.033.gz; fasta.sus_scrofa.036.gz; fasta.sus_scrofa.038.gz; fasta.sus_scrofa.040.gz; fasta.sus_scrofa.041.gz; fasta.sus_scrofa.042.gz; fasta.sus_scrofa.046.gz; fasta.sus_scrofa.049.gz; fasta.sus_scrofa.051.gz; fasta.sus_scrofa.059.gz; fasta.sus_scrofa.060.gz; fasta.sus_scrofa.062.gz; fasta.sus_scrofa.063.gz	ERX005619
Taeniopygia guttata	Zebrafinch	Sanger	Animalia	Chordata	Monocentric	191	55	0.77217	77.217	0.006711	0.6711	-0.5754003378	4	68	1.25	246.7279412	not found	fasta.taeniopygia_guttata.001.gz; fasta.taeniopygia_guttata.003.gz; fasta.taeniopygia_guttata.004.gz; fasta.taeniopygia_guttata.006.gz; fasta.taeniopygia_guttata.007.gz; fasta.taeniopygia_guttata.015.gz; fasta.taeniopygia_guttata.019.gz	nd
Takifugu rubripes	Fugu pufferfish	Sanger	Animalia	Chordata	Monocentric	118	41	0.76445	76.445	0.01444	1.444	0.5300707422	4	44	0.4	262.5454545	found	fasta.takifugu_rubripes.001.gz; fasta.takifugu_rubripes.003.gz; fasta.takifugu_rubripes.005.gz; fasta.takifugu_rubripes.006.gz; fasta.takifugu_rubripes.007.gz; fasta.takifugu_rubripes.008.gz	nd
Tarsius syrichta	Philippine tarsier	Sanger	Animalia	Chordata	Monocentric	91	51	0.39258	39.258	0.005156	0.5156	-0.9556758312	4	80	5.26	678.014	found	fasta.tarius_syrichta.004.gz; fasta.tarius_syrichta.019.gz; fasta.tarius_syrichta.025.gz; fasta.tarius_syrichta.026.gz; fasta.tarius_syrichta.031.gz	nd
Teladorsagia circumcincta	Brown stomach worm 	Sanger	Animalia	Nematoda	Holocentric	146	53	0.32304	32.304	0.001171	0.1171	-3.094187019	2	6	0.06	23.42	not found	fasta.teladorsagia_circumcincta.001.gz	nd
Tetranychus urticae	Red spider mite	Sanger, Illumina	Animalia	Arthropoda	Holocentric	174	29	0.25476	25.476	0.000514	0.0514	-4.28208783	2	8	0.08	10.28	not found	fasta.tetranychus_urticae.001.gz; fasta.tetranychus_urticae.002.gz; fasta.tetranychus_urticae.003.gz	SRX030913
Tetraodon nigroviridis	Green spotted pufferfish	Sanger	Animalia	Chordata	Monocentric	118	42	0.70987	70.987	0.008794	0.8794	-0.1854085623	4	42	0.4	167.5047619	found	fasta.tetraodon_nigroviridis.001.gz; fasta.tetraodon_nigroviridis.003.gz; fasta.tetraodon_nigroviridis.006.gz; fasta.tetraodon_nigroviridis.009.gz; fasta.tetraodon_nigroviridis.010.gz	nd
Thellungiella parvula	Salt cress	Illumina	Plantae	Eudicot	Monocentric	219	35	nd	nd	0.081298	8.1298	3.023219861	6	14	0.32	3716.48	nd	nd	SRX047632
Theobroma cacao	Cacao	Illumina	Plantae	Eudicot	Monocentric	171	32	nd	nd	0.12375	12.375	3.62935662	6	20	0.43	5321.25	nd	nd	SRX036964
Tribolium castaneum	Red flour beetle	Sanger	Animalia	Arthropoda	Monocentric	166	32	0.13683	13.683	0.003553	0.3553	-1.492890406	3	8	0.21	186.5325	found	fasta.tribolium_castaneum.001.gz; fasta.tribolium_castaneum.002.gz; fasta.tribolium_castaneum.003.gz; fasta.tribolium_castaneum.004.gz	nd
Trichechus manatus latirostris	West Indian manatee	Illumina	Animalia	Chordata	Monocentric	682	45	nd	nd	0.010308	1.0308	0.04376444231	4	48	4.67	2005.765	nd	nd	SRX084281
Trichinella spiralis	Roundworm	Sanger	Animalia	Nematoda	Monocentric	176	40	0.34344	34.344	0.009587	0.9587	-0.06084866257	4	6	0.26	830.8733333	found	fasta.trichinella_spiralis.001.gz; fasta.trichinella_spiralis.002.gz; fasta.trichinella_spiralis.003.gz; fasta.trichinella_spiralis.005.gz; fasta.trichinella_spiralis.006.gz	nd
Trichoplax adhaerens	Trichoplax	Sanger	Animalia	Placozoa	Monocentric	126	34	0.11888	11.888	0.000801	0.0801	-3.642053947	2	12	0.08	10.68	not found	fasta.trichoplax_adhaerens.001.gz; fasta.trichoplax_adhaerens.002.gz; fasta.trichoplax_adhaerens.003.gz	nd
Trichuris muris	Roundworm	Sanger	Animalia	Nematoda	Monocentric	89	51	0.128	12.8	0.00049	0.049	-4.351074441	2	6	0.26	42.46666667	found	fasta.trichuris_muris.001.gz	nd
Trigonobalanus doichangensis	Beech tree	Illumina	Plantae	Eudicot	Monocentric	155	36	nd	nd	0.017767	1.7767	0.8292000995	4	nd	nd	nd	nd	nd	SRX017683
Tupaia belangeri	Northern treeshrew	Sanger	Animalia	Chordata	Monocentric	353	36	0.65379	65.379	0.017127	1.7127	0.7762724682	4	60	3.37	1923.933	not found	fasta.tupaia_belangeri.002.gz; fasta.tupaia_belangeri.007.gz; fasta.tupaia_belangeri.008.gz; fasta.tupaia_belangeri.009.gz; fasta.tupaia_belangeri.010.gz; fasta.tupaia_belangeri.017.gz	nd
Tursiops truncatus	Bottlenose dolphin	Sanger, Illumina	Animalia	Chordata	Monocentric	170	64	0.07981	7.981	0.00059	0.059	-4.083141235	2	44	3.03	81.25909091	found	fasta.tursiops_truncatus.001.gz; fasta.tursiops_truncatus.004.gz; fasta.tursiops_truncatus.007.gz; fasta.tursiops_truncatus.012.gz; fasta.tursiops_truncatus.013.gz; fasta.tursiops_truncatus.021.gz; fasta.tursiops_truncatus.022.gz	SRX000092
Vitis vinifera	Grape	Sanger	Plantae	Eudicot	Monocentric	107	50	0.35697	35.697	0.017818	1.7818	0.8333354091	4	38	1.01	947.1673684	found	fasta.volvox_carteri_f__nagariensis.003.gz; fasta.volvox_carteri_f__nagariensis.005.gz; fasta.volvox_carteri_f__nagariensis.006.gz; fasta.volvox_carteri_f__nagariensis.007.gz; fasta.volvox_carteri_f__nagariensis.008.gz	nd
Volvox carteri f  nagariensis	Green alga	Sanger	Plantae	Chlorophyta	Monocentric	78	65	0.19225	19.225	0.004292	0.4292	-1.220278019	3	nd	0.14	nd	not found	fasta.vitis_vinifera.001.gz; fasta.vitis_vinifera.003.gz; fasta.vitis_vinifera.004.gz; fasta.vitis_vinifera.006.gz; fasta.vitis_vinifera.018.gz	nd
Xenopus tropicalis	Western clawed frog	Sanger, Illumina	Animalia	Chordata	Monocentric	55	52	0.0705	7.05	0.002813	0.2813	-1.829818542	3	20	1.78	500.714	found	fasta.xenopus_tropicalis.004.gz; fasta.xenopus_tropicalis.010.gz; fasta.xenopus_tropicalis.013.gz; fasta.xenopus_tropicalis.018.gz; fasta.xenopus_tropicalis.019.gz	ERX007338
Zea luxurians	Teosinte	Illumina, PacBio	Plantae	Monocot	Monocentric	156	50	nd	nd	0.006364	0.6364	-0.6519942592	4	20	4.58	2914.712	not found	nd	SRX036565
Zea mays	Maize	Sanger, Illumina, PacBio	Plantae	Monocot	Monocentric	156	48	0.06798	6.798	0.000916	0.0916	-3.448508591	2	20	2.73	250.068	not found	fasta.zea_mays.001.gz; fasta.zea_mays.002.gz; fasta.zea_mays.003.gz; fasta.zea_mays.004.gz; fasta.zea_mays.005.gz; fasta.zea_mays.006.gz; fasta.zea_mays.007.gz; fasta.zea_mays.008.gz; fasta.zea_mays.009.gz; fasta.zea_mays.010.gz; fasta.zea_mays.011.gz; fasta.zea_mays.012.gz; fasta.zea_mays.013.gz; fasta.zea_mays.014.gz; fasta.zea_mays.015.gz; fasta.zea_mays.016.gz; fasta.zea_mays.017.gz; fasta.zea_mays.018.gz; fasta.zea_mays.019.gz; fasta.zea_mays.020.gz; fasta.zea_mays.021.gz; fasta.zea_mays.022.gz; fasta.zea_mays.023.gz; fasta.zea_mays.024.gz; fasta.zea_mays.025.gz; fasta.zea_mays.026.gz; fasta.zea_mays.027.gz; fasta.zea_mays.028.gz; fasta.zea_mays.029.gz; fasta.zea_mays.030.gz; fasta.zea_mays.031.gz; fasta.zea_mays.032.gz; fasta.zea_mays.033.gz; fasta.zea_mays.034.gz; fasta.zea_mays.035.gz; fasta.zea_mays.036.gz; fasta.zea_mays.037.gz; fasta.zea_mays.038.gz; fasta.zea_mays.039.gz; fasta.zea_mays.040.gz; fasta.zea_mays.041.gz; fasta.zea_mays.042.gz; fasta.zea_mays.043.gz; fasta.zea_mays.044.gz; fasta.zea_mays.045.gz; fasta.zea_mays.046.gz; fasta.zea_mays.047.gz; fasta.zea_mays.048.gz; fasta.zea_mays.049.gz; fasta.zea_mays.050.gz; fasta.zea_mays.051.gz; fasta.zea_mays.052.gz; fasta.zea_mays.053.gz; fasta.zea_mays.055.gz; fasta.zea_mays.056.gz; fasta.zea_mays.057.gz; fasta.zea_mays.058.gz; fasta.zea_mays.059.gz; fasta.zea_mays.060.gz; fasta.zea_mays.061.gz; fasta.zea_mays.062.gz; fasta.zea_mays.063.gz; fasta.zea_mays.064.gz; fasta.zea_mays.065.gz; fasta.zea_mays.066.gz; fasta.zea_mays.067.gz; fasta.zea_mays.068.gz; fasta.zea_mays.069.gz; fasta.zea_mays.070.gz	SRX026931
Zostera marina	Seagrass	Illumina	Plantae	Monocot	Monocentric	65	51	nd	nd	0.0265	2.65	1.40599236	5	12	0.32	1413.333333	nd	nd	SRX113964
